dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,43324.52283082761,43324.52283082761,139.9457900846905,1.7209189837780543,1.3377870822166575,0.4755702568479268,10.953400476237176,208.1454367283309,0.5467008938216347,0.367572259706722,0.2825272035187278,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,43324.52283082761,43324.52283082761,139.9457900846905,1.7209189837780543,1.3377870822166575,0.4755702568479268,10.953400476237176,208.1454367283309,0.5467008938216347,0.367572259706722,0.2825272035187278,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,48118.03854831572,48118.03854831572,145.75627367121078,1.7196991371373789,1.5793302773706468,0.4682670037913423,11.444760139671034,219.3582424900321,0.5761517000873096,0.3828336875824273,0.2970342380202433,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,45626.788053608376,45626.788053608376,141.85073872812848,1.6866779803830454,1.6164729181771644,0.4632160550809521,11.188731457305494,213.60427910884272,0.5610387244057005,0.372575670506504,0.2891042747663059,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,43324.52283082761,43324.52283082761,139.9457900846905,1.7209189837780543,1.3377870822166575,0.4755702568479268,10.953400476237176,208.1454367283309,0.5467008938216347,0.367572259706722,0.2825272035187278,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,48118.03854831572,48118.03854831572,145.75627367121078,1.7196991371373789,1.5793302773706468,0.4682670037913423,11.444760139671034,219.3582424900321,0.5761517000873096,0.3828336875824273,0.2970342380202433,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,45615.95075234027,45615.95075234027,141.84084994605973,1.686747836847141,1.6154792886405651,0.4632431241967699,11.185200419868362,213.5789098959452,0.5609720913265197,0.3725496972923862,0.2890729239383,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,46486.76243661837,46486.76243661837,142.13427295077165,1.684337491707504,1.988737029677312,0.4625520255237647,10.74296146300999,215.6078904785685,0.5663012761287533,0.3733203825472025,0.2882401442550628,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,45997.13757727264,45997.13757727264,142.2082396616548,1.6914998553169984,1.5261714845002667,0.4651341414057144,11.01499827430959,214.4694327340673,0.563311079099792,0.373514658566838,0.2893506835556089,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,46252.37886965861,46252.37886965861,141.76125864032144,1.6758083338591037,1.8113267894463343,0.4591431618848294,11.208861955908478,215.06366236456267,0.5648718429350861,0.372340648087794,0.2872019944788726,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,46719.70266856595,46719.70266856595,143.06235161163505,1.6931356502521606,1.7929681691367827,0.4634909505825347,10.769439968860892,216.14740958097545,0.5677183409472567,0.3757580119346439,0.2889270052750861,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,48118.03854831572,48118.03854831572,145.75627367121078,1.7196991371373789,1.5793302773706468,0.4682670037913423,11.444760139671034,219.3582424900321,0.5761517000873096,0.3828336875824273,0.2970342380202433,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,43324.52283082761,43324.52283082761,139.9457900846905,1.7209189837780543,1.3377870822166575,0.4755702568479268,10.953400476237176,208.1454367283309,0.5467008938216347,0.367572259706722,0.2825272035187278,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,45626.788053608376,45626.788053608376,141.85073872812848,1.6866779803830454,1.6164729181771644,0.4632160550809521,11.188731457305494,213.60427910884272,0.5610387244057005,0.372575670506504,0.2891042747663059,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,45615.97683544762,45615.97683544762,141.8408737674214,1.6867476685679654,1.615481682222341,0.4632430589597403,11.18520892588247,213.5789709579284,0.560972251707844,0.3725497598599828,0.2890729994601799,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,43324.52283082761,43324.52283082761,139.9457900846905,1.7209189837780545,1.3377870822166575,0.47557025684792686,10.953400476237176,208.14543672833094,0.5467008938216347,0.367572259706722,0.2825272035187278,Energy,7
