dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
us_births/M/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,39726603.01127302,39726603.01127302,5216.296997776702,0.5887625277768981,0.0160613649194694,0.0162348741382903,4.1716459431532575,6302.904331439041,0.0195767778807908,0.0162017829108307,0.0122698760733697,Healthcare,1
us_births/W/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,1930534.766764781,1930534.766764781,1081.78327091686,0.9835347452859864,0.014695158696475,0.014715197436026,5.570849545467452,1389.436852384728,0.0188614690306901,0.014685101829059,0.0114682851248702,Healthcare,1
us_births/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,136143.73999978378,136143.73999978378,221.81999999992024,0.3265422506293949,0.0212296697220091,0.021207622241858,2.6356523180801386,368.9766117246238,0.0345885632766748,0.0207938250345129,0.0165359852704334,Healthcare,1
kdd_cup_2018/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,2988.720245298054,2988.720245298054,21.38672915652007,1.2031038575404442,0.4991539510029837,0.4708912326122731,9.264701541171377,54.66918917725096,1.2246479206042382,0.4790854553401181,0.3787541943026278,Nature,1
m4_monthly/M/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,1808501.6461791,1808501.6461791,549.1854334125364,0.9073566268036816,0.1587637806576967,0.1297814853803175,7.545220404800502,1344.805430602918,0.2794967342146175,0.114139586012994,0.0911298638631126,Econ/Fin,1
bizitobs_service/10S/medium,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,18515.346283957955,18515.346283957955,36.77523808265676,1.0300595745742225,0.0713880671433777,0.0642153722151374,8.779634966137307,136.0711074547347,0.102410322001012,0.0276779107935283,0.0210812394183146,Web/CloudOps,2
bizitobs_service/10S/long,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,130800.50570977958,130800.50570977958,77.23263013955768,1.372656711442432,0.0848772074397282,0.0806580488256406,18.90412531824866,361.66352554519455,0.2679319018161741,0.0572164014725089,0.0526575478267272,Web/CloudOps,2
bitbrains_rnd/H/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,1827748.0265743316,1827748.0265743316,150.12774015693793,5.857973586195698,1.477466054602154,0.553275023412112,201.94190333323635,1351.9423162895418,5.916761185429259,0.6570324599755641,0.6059847998470352,Web/CloudOps,2
hospital/M/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,2846.6919783435383,2846.6919783435383,17.822002589698275,0.7538908159971611,0.1903907807214526,0.1719447405490595,5.016205749526375,53.35439980304847,0.1936888609327054,0.0646980079221349,0.0503726919707962,Healthcare,1
temperature_rain/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,179.43292411543658,179.43292411543658,5.673677314036749,1.3263807540378518,20.802581974671217,1.5038865993688622,19.06799676883712,13.39525752329669,1.5769759724374015,0.6679418282207933,0.541325677979397,Nature,1
m4_yearly/A/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,3188333.289056018,3188333.289056018,824.1684203022014,3.039374003088932,0.1608312937536888,0.1366039434104263,30.6146094534074,1785.590459499607,0.2863277060070752,0.1321592260381677,0.1082919290731304,Econ/Fin,1
m4_quarterly/Q/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,1736265.5637450763,1736265.5637450763,548.6012755512,1.1495875582927468,0.1127441673892346,0.0995073191308837,8.888592627352056,1317.674301086986,0.2205554740788896,0.0918261927926079,0.0732753464124962,Econ/Fin,1
car_parts/M/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,1.352569936798253,1.352569936798253,0.4577618761781891,0.8353874324526657,0.8076413608191089,1.882645578071937,14.89427863622604,1.163000402750684,2.7887556647035354,1.0976660216607932,0.9448292416216788,Sales,1
ett2/15T/long,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,10.98978888025733,10.98978888025733,2.092486120327942,0.8680493076192379,0.1327374149333277,0.1603817586921841,6.984391253599769,3.3150850487215755,0.1766668829854911,0.1115123730268401,0.0902768318404842,Energy,7
ett2/W/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,3078387.962006537,3078387.962006537,1212.9618591095382,0.8073464262231925,0.1233339398995899,0.1302787303895,8.899939774221165,1754.5335454207016,0.1471784658221417,0.1017489041406208,0.0858774214630066,Energy,7
ett2/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,102385.50915477565,102385.50915477565,190.18714490420172,1.262076835589831,0.427969427534871,0.1313129937569961,12.528358276187278,319.9773572532526,0.1831314838738403,0.1088491209472338,0.0917586219734584,Energy,7
ett2/H/medium,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,241.95548544351453,241.95548544351453,9.624731014517778,1.023213470676893,0.1690948842930588,0.1651238862875281,7.182755448231369,15.554918368269073,0.2096125280061125,0.1296994398535315,0.1036994521066568,Energy,7
ett2/H/long,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,239.2029857084368,239.2029857084368,9.267518931374976,1.0055082236001585,0.1752224746284529,0.1677055949940177,8.514589123844527,15.466188467377371,0.2117975474029663,0.1269115389558304,0.1049349300917086,Energy,7
bizitobs_application/10S/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,308261.2103327942,308261.2103327942,306.3223634190029,0.9969408152961996,0.0138383801063898,0.0139816216455304,7.843122460046349,555.2127613201935,0.0214123369552883,0.0118136291515917,0.009215882460113,Web/CloudOps,2
bizitobs_application/10S/medium,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,2584471.515212231,2584471.515212231,898.0391722395423,1.9554717091556173,0.0272881532761419,0.0279047793272086,10.73952234169492,1607.629159729392,0.0631268655672437,0.0352633552066366,0.0280866780844754,Web/CloudOps,2
bizitobs_application/10S/long,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,6575351.513576637,6575351.513576637,1561.0547979024104,3.297205191973261,0.0478483717211191,0.0489721952746662,49.2030422572567,2564.2448232523816,0.0988926732533604,0.0602036438407423,0.0541372971982484,Web/CloudOps,2
m4_hourly/H/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,583999.271535853,583999.271535853,187.7866591073929,0.7573295798193429,0.0908869364317125,0.0812969298191251,5.997147513867932,764.1984503621118,0.1043299702306593,0.0256370273259593,0.0212180145597267,Econ/Fin,1
hierarchical_sales/W/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,454.3875914438505,454.3875914438505,8.754003484677385,0.7099666423688658,0.5126446339474886,0.4510987743756949,6.482081336739084,21.31636909616294,0.978644931816495,0.4019005818831302,0.337892116951435,Sales,1
hierarchical_sales/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,28.400430598356188,28.400430598356188,2.2768524492508546,0.7381945244224194,0.6208744604214976,1.0527683569274793,6.934131497469043,5.329205437807421,1.6349412109292638,0.6985131168103359,0.5664117861644948,Sales,1
covid_deaths/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,581376.7653230962,581376.7653230962,128.70536944542627,35.93889262390301,0.0950083050300859,0.374014737169626,708.4607966929675,762.4806655405081,0.2868870475406136,0.0484260193229261,0.0392354603252568,Healthcare,1
bizitobs_l2c/5T/medium,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,107.25878373402932,107.25878373402932,6.785871910904373,0.6538725759783286,0.4681483060108516,0.6688908161787468,4.317835355610774,10.356581662596463,0.5449084955815784,0.3570366530816462,0.2741539875325973,Web/CloudOps,7
bizitobs_l2c/5T/long,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,122.6402781151032,122.6402781151032,6.909265287496623,0.6818609290318416,0.5796664203867303,0.8022763609700865,5.309442607054119,11.07430711670501,0.621805788484106,0.3879449165227752,0.3106776916124539,Web/CloudOps,7
bizitobs_l2c/H/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,48.7084652909183,48.7084652909183,4.243251219471341,0.4218412060352868,0.3851807901411768,0.5887928716454719,2.62642251342581,6.97914502578348,0.3761937907890505,0.2287221078836925,0.1778490639039565,Web/CloudOps,7
bizitobs_l2c/H/medium,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,73.35964220041843,73.35964220041843,4.966195113141843,0.5011027264196871,0.5089079323410295,0.7560968857156186,3.339831728039136,8.565024354922667,0.5186252342154857,0.3007106573179433,0.236947529198077,Web/CloudOps,7
bizitobs_l2c/H/long,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,82.61187232478221,82.61187232478221,5.294852624404082,0.5666091026635316,0.6110537736074755,0.765728825182664,4.826097514574071,9.089107344771664,0.5551889093978941,0.3234248801843509,0.261373320913787,Web/CloudOps,7
saugeen/M/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,392.646408758444,392.646408758444,12.191249296778723,0.714357847976952,0.3479557964623411,0.3564650117747986,4.918596236754217,19.81530743537541,0.5949149745755113,0.3660178772946416,0.2979973192648671,Nature,1
saugeen/W/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,984.6386138939608,984.6386138939608,14.465413290262225,1.1736199327762171,0.3595202221522147,0.3827155945562221,10.353276742880848,31.378951765378662,0.9471997514311078,0.4366505285240931,0.3572841060941376,Nature,1
saugeen/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,1229.082480107391,1229.082480107391,12.613408821089909,2.802533545460853,0.2734396910880569,0.3128166169551066,28.709754743538905,35.05827263439245,1.1355458038019688,0.4085513170542321,0.3423575155559048,Nature,1
solar/W/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,1786273.5790135667,1786273.5790135667,1073.9448348926264,1.1744624783586215,0.2437620154862635,0.2092302587560993,6.996943553480142,1336.5154615692131,0.27281622024191,0.2192189907475721,0.1570621759420831,Energy,1
solar/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,120803.6321228292,120803.6321228292,245.19342459390924,0.9558120437638938,1.0506436949641504,0.4199704246961855,4.934866667854741,347.56816902994615,0.5021176375553822,0.3542209962575713,0.2674391251742228,Energy,1
m_dense/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,7552.383758619091,7552.383758619091,42.69188295420303,0.6429059502363068,0.1179333184307221,0.0933416208886613,6.688114189486908,86.90445189182826,0.1504444610771018,0.0739059643504376,0.0607411969969125,Transport,1
m_dense/H/medium,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,35419.58255254419,35419.58255254419,78.03198357689121,0.6774976625212957,0.2728124709937699,0.1891808599242548,7.588888943036777,188.2009100736343,0.3274458068694724,0.135765793130137,0.1125695248751859,Transport,1
m_dense/H/long,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,34453.80092317567,34453.80092317567,78.4369579723036,0.6796905349086906,0.2802335725271651,0.1912906271609883,7.178634528071472,185.61735081391413,0.3213310734928257,0.1357859693408717,0.1123679430283905,Transport,1
jena_weather/D/short,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,375.2295574266373,375.2295574266373,9.433527369098366,0.9881362666631488,0.6427341546259489,0.4424265075840292,6.275884847131106,19.37084297150326,0.1166441348632563,0.0568052531475317,0.0445001325827916,Nature,21
jena_weather/H/medium,SLSQPEnsemble_3-models_chronos-flowstate-timesfm_opt-mae_1-windows,1118.263878308789,1118.263878308789,9.728014092710875,0.7875112886688237,2.3315773719601807,0.6944764951399933,7.109189181773651,33.44045272284436,0.2046280609788596,0.0595274435267014,0.0481063597818903,Nature,21
