dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
us_births/M/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,44102841.1812388,44102841.1812388,5426.967325485729,0.6139066159380951,0.0167296330206997,0.0169263205226445,4.249310996503467,6640.997002050129,0.0206268914106221,0.0168561235123628,0.0127641923440393,Healthcare,1
us_births/W/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1670028.8978776033,1670028.8978776033,990.7222414414592,0.9011476868310506,0.0134757034324721,0.0135256241320098,6.990631960224497,1292.29597920817,0.0175427912024108,0.0134489572828674,0.0108706443468985,Healthcare,1
us_births/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,167296.58423796494,167296.58423796494,242.10600384616225,0.3564719338537868,0.0233000389904182,0.0229614296814551,3.7366743591875697,409.0190511919524,0.038342217051082,0.0226954732836715,0.0185892686441883,Healthcare,1
kdd_cup_2018/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,2916.0492261171416,2916.0492261171416,21.301093425372308,1.2030352486890028,0.5283288404957202,0.4688812787019495,9.137323837873844,54.00045579545733,1.2096675682824336,0.4771671184263349,0.3774788232298375,Nature,1
kdd_cup_2018/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,4075.970260808055,4075.970260808055,19.26365454994862,0.7975806072124096,0.7540057264020164,0.4363798194009474,10.04715750146388,63.84332589087175,1.3363564288743095,0.403223175519407,0.3421748545184094,Nature,1
bizitobs_service/10S/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,2538.134102243285,2538.134102243285,19.824362227934007,0.770287881659064,0.0520690404841505,0.0422626786531239,6.532468431558912,50.37989779905558,0.037323039991616,0.0146865217391396,0.0115624984710855,Web/CloudOps,2
bitbrains_rnd/5T/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1500991.3928512922,1500991.3928512922,109.31480268137064,1.6511686015919222,0.9518170639625948,0.6510628130551414,53.38164385943991,1225.14953897526,5.012958227424671,0.4472846146922047,0.3777188404328013,Web/CloudOps,2
bitbrains_rnd/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1845974.7124546317,1845974.7124546317,172.6505937586584,5.825689578706255,2.346536241387692,0.5547108358857717,196.3501056298688,1358.6665199579445,5.946189426702169,0.7556034685784142,0.6335051571092252,Web/CloudOps,2
hospital/M/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,3216.9687459763823,3216.9687459763823,18.96516969663884,0.7755212126993661,0.1912803449862232,0.1742333809047125,5.183911229723913,56.71832813100526,0.2059007019150115,0.0688479699799295,0.0542971643907696,Healthcare,1
m4_weekly/W/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,311947.98858408973,311947.98858408973,278.16729446529934,2.1314650701646363,0.0669873582854379,0.0680489343771985,14.768050582738605,558.523042124575,0.101754242654119,0.0506777701986889,0.039909510443923,Econ/Fin,1
car_parts/M/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1.3703115178149397,1.3703115178149397,0.4398156775441866,0.815055618216927,0.8662021338481171,1.921539134820314,13.26607570892986,1.1706030573234207,2.80698605048531,1.0546328782654006,0.9365928387822842,Sales,1
ett2/W/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,3028686.15508855,3028686.15508855,1235.0679070608955,0.8492790977282384,0.1403042994961234,0.1485306900420881,7.457682058667719,1740.312085543438,0.1459855033667075,0.1036032626573691,0.083261356990235,Energy,7
ett2/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,106.26241154470276,106.26241154470276,6.300846803930327,0.7282052911871015,0.1195345479019229,0.1091958056803332,5.052052003749612,10.308366094813609,0.1307387641145625,0.0799122689710737,0.0632527659918169,Energy,7
m4_daily/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,352197.4701280685,352197.4701280685,170.09468453305252,3.201192383768785,0.0364956613007764,0.0293878155429539,25.490123069436347,593.4622735507864,0.0916735201825641,0.0262749279784728,0.0209536215444276,Econ/Fin,1
bizitobs_application/10S/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,536240.6488444374,536240.6488444374,377.9246891121568,1.1988853950408829,0.0167012032316396,0.0170114762660345,8.249208108677188,732.2845409022625,0.028241287717638,0.0145750446509014,0.0114390291485951,Web/CloudOps,2
m4_hourly/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,973274.0416021664,973274.0416021664,202.0832535805108,0.7529721553292144,0.0910867939635268,0.0833366293228996,5.709597365931422,986.54652277638,0.1346853761214171,0.0275888246402549,0.0209670729002087,Econ/Fin,1
hierarchical_sales/W/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,462.9788185638694,462.9788185638694,8.963584850311157,0.7281536334205408,0.5474181219271319,0.4586954546829074,6.83646293911353,21.516942593311654,0.9878533591783872,0.4115225648932475,0.3480172331808371,Sales,1
hierarchical_sales/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,27.715106237494968,27.715106237494968,2.4159732519551564,0.7894317064970553,0.7153453022967158,0.9870374454038032,13.108083653464687,5.264513865258118,1.615094552887086,0.7411938384100653,0.6498401064629694,Sales,1
covid_deaths/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,289076.2744811369,289076.2744811369,95.05780468426086,37.55188832404343,0.0971545514829377,0.3789716202793666,855.1160628393967,537.658139044818,0.2022964913610207,0.0357659616169303,0.029207931049374,Healthcare,1
bizitobs_l2c/5T/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,14.347422229188597,14.347422229188597,2.3665648855236707,0.2453785278994394,0.1442749686813615,0.1884272508392674,2.025781738911559,3.7877991273546434,0.1300883538871655,0.0812774173006239,0.0654677600187577,Web/CloudOps,7
bizitobs_l2c/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,60.28390679526539,60.28390679526539,4.712858940345635,0.4648451997737972,0.4208748545950087,0.6158811174046454,3.627905552076227,7.764271169611826,0.4185141006842038,0.2540351667249758,0.2062050447353345,Web/CloudOps,7
saugeen/M/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,390.3086876507553,390.3086876507553,12.552862653506798,0.7354630006055791,0.3638783383342068,0.3606290028605937,4.780199020680949,19.756231615638526,0.5931413412412109,0.376874595093528,0.2943438375411599,Nature,1
saugeen/W/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,989.0366627776092,989.0366627776092,14.510831109343064,1.1772305584199918,0.3615963451772969,0.3865600144029503,16.648966653739837,31.448953285882336,0.9493128055355484,0.4380215031591152,0.3733213256905573,Nature,1
saugeen/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1030.9574256160988,1030.9574256160988,11.888582990585377,2.6410230975618734,0.2664763029599944,0.3055411807812724,33.656509993491525,32.10852574653808,1.0400027992816894,0.3850740357032606,0.327796378755417,Nature,1
solar/W/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,2336975.8060402027,2336975.8060402027,1229.382804610723,1.3485117834770617,0.2832377957114544,0.2363188641325632,4.938208693297714,1528.7170457740708,0.3120493688548795,0.2509477665080698,0.1910225519371811,Energy,1
solar/10T/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,14.684488441733643,14.684488441733643,1.4876942379517155,0.640838047122022,3.65055295017873,1.486483851325184,4.162316534814993,3.832034504246229,1.114738422301665,0.4327700927128741,0.3415282793065316,Energy,1
solar/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,133361.87067308484,133361.87067308484,260.3818192042577,1.0157734876454991,1.1054676183440064,0.4356072764999746,4.536606591763915,365.1874459412383,0.5275714749431084,0.3761630415632195,0.2893872396028907,Energy,1
solar/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,536.11226490189,536.11226490189,9.947754699369304,0.7657531950352571,3.6451379753069,1.3926102961469538,9.746418013823105,23.154098231239537,0.853467761580497,0.3666775467233594,0.3093883865088685,Energy,1
m_dense/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,8724.981097350808,8724.981097350808,45.63352046469767,0.6832925460493819,0.1236572389739732,0.0988092536257855,8.053878560712237,93.4076072777309,0.1617023849927899,0.0789983740062906,0.0651192543370395,Transport,1
m_dense/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,39373.786802595794,39373.786802595794,84.14984699995402,0.7587663191092405,0.2734294442814728,0.2040370909879278,9.12413516050492,198.42829133617963,0.3519623436693924,0.1492608597800509,0.1245006946593078,Transport,1
jena_weather/10T/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,725.2343973854946,725.2343973854946,5.312600313353699,0.2923564226227359,0.3221553477621341,0.5450701500749445,2.4824012112830047,26.930176334095822,0.1672701472008103,0.0329979063415434,0.0268657217092676,Nature,21
jena_weather/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,328.7705610381859,328.7705610381859,9.275773602172356,0.9445549683086442,0.6873753244268014,0.4233340202591446,7.7654881864616305,18.132031354434226,0.1091844641847966,0.0558553176340606,0.0454549517850385,Nature,21
jena_weather/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1084.2523656501369,1084.2523656501369,8.223485341510681,0.5125382045668103,1.2728240608575383,0.5976357379251027,4.891107078486498,32.92798757364526,0.2018464440277549,0.0504094357417344,0.0418237164259211,Nature,21
bitbrains_fast_storage/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,2263838.5983850905,2263838.5983850905,244.91400447494365,1.0015676712743802,2.374327546192415,0.5680473220821801,19.87944015477244,1504.6057950124646,4.288615125281247,0.6980844467475555,0.5475867722985845,Web/CloudOps,2
loop_seattle/5T/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,35.80795422523049,35.80795422523049,3.327705537261599,0.5278442307843969,0.0883379606669038,0.0707618797135493,4.019406455900371,5.983974784809048,0.102611956737471,0.057062803388037,0.0455189987703903,Transport,1
loop_seattle/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,18.32162101032918,18.32162101032918,2.909690106690114,0.8786068491670813,0.0537214494579882,0.0536777266201481,8.811208977237126,4.280376269713818,0.0764960464659866,0.0520000522332281,0.0429700366328629,Transport,1
loop_seattle/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,59.93594537922839,59.93594537922839,4.124960568723767,0.8366467305025891,0.1116237754258009,0.0951293891886391,8.638109115479093,7.741830880303986,0.1370382803825378,0.0730159973426705,0.0604744004793672,Transport,1
electricity/15T/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,120880.05740926696,120880.05740926696,46.1180431452148,0.8661192733279939,0.1507048527958164,0.1510697945120871,10.241313893227645,347.6780945203004,0.685342059430146,0.0909077539372684,0.0764842664962807,Energy,1
electricity/W/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,88862303407.21886,88862303407.21886,33956.67131610937,1.5865432744537566,0.2491041716000045,0.1015700386212345,13.369907386869883,298097.8084575914,0.6801608263011711,0.077477918205118,0.060214850482629,Energy,1
electricity/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1632721071.1954048,1632721071.1954048,4507.930742306281,1.419639394243778,0.3885739877930073,0.0954299085215444,11.979725348977196,40406.94335377776,0.6640203026006012,0.0740802764861676,0.058451249736522,Energy,1
electricity/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1389305.660085455,1389305.660085455,160.10688162293238,0.8873909461735119,0.1805756501960506,0.121753029500402,11.56487625583702,1178.688109758241,0.5564249650842115,0.0755818823310729,0.0627569146224509,Energy,1
restaurant/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,141.22938892310694,141.22938892310694,7.204941447929556,0.6902378592904647,0.7052075906804013,0.3970202720662719,5.201844559124213,11.883997177848324,0.5469290850693838,0.3315880991153234,0.264841215692949,Sales,1
ett1/15T/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,4.438871712791662,4.438871712791662,1.03734770855601,0.6654885553044997,0.4835851930616832,0.2305730088787451,4.696886011664273,2.106863002853214,0.3982848060418377,0.1961018966779779,0.1530411182045491,Energy,7
ett1/W/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,1199156.0235687548,1199156.0235687548,881.7746365516545,1.5711603668167278,0.7209962412354961,0.5310902067311373,7.853843235454925,1095.0598264792452,0.4357504415691007,0.3508791738595472,0.2637149273237693,Energy,7
ett1/D/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,43324.52283082761,43324.52283082761,139.9457900846905,1.7209189837780543,1.3377870822166575,0.4755702568479268,10.953400476237176,208.1454367283309,0.5467008938216347,0.367572259706722,0.2825272035187278,Energy,7
ett1/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,97.70996574060108,97.70996574060108,4.875995927688921,0.8137984075565352,0.4913833269171321,0.259245843067188,6.54660855220115,9.884835139778565,0.4613656965090111,0.2275826784708213,0.1810733147080782,Energy,7
sz_taxi/15T/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,16.586761700899192,16.586761700899192,2.726820482931016,0.5438948511277231,1146212426305.1245,0.3938024660946147,3.931066775488551,4.07268482710106,0.3808134494855111,0.254969377282221,0.2013699820523185,Transport,1
sz_taxi/H/short,SLSQPEnsemble_3-models_moirai-sundial-toto_opt-random_1-windows,7.130956509663137,7.130956509663137,1.838235062023818,0.560180803841475,1.1041260352113185,0.2951495362639847,3.9916720833666073,2.6703850863991763,0.2487628494447888,0.1712429395698051,0.1350603138527929,Transport,1
