dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
us_births/M/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,35515215.14034561,35515215.14034561,4789.193507412591,0.5406660369984206,0.0147857166487607,0.0149373958342874,4.081046402416302,5959.4643333395,0.0185100555882379,0.0148752023817146,0.0115168390482841,Healthcare,1
us_births/W/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,1587542.3971518388,1587542.3971518388,970.2884063554638,0.8826859763488965,0.0131848009669393,0.0132107126453238,5.232017144382568,1259.9771415195748,0.0171040661497932,0.013171569975203,0.0102166728112226,Healthcare,1
us_births/D/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,136185.55332242808,136185.55332242808,221.8199999808924,0.3265413928774907,0.0212334882431822,0.0212017632869035,2.570549853838766,369.0332685848636,0.0345938743975784,0.0207938250327292,0.0165232988671996,Healthcare,1
hospital/M/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,3113.1298330276204,3113.1298330276204,18.632310563649902,0.7691577226339246,0.1906404850094997,0.1733298306608719,5.139506557636934,55.79542842408883,0.2025503616685159,0.0676396140325725,0.0534111577787224,Healthcare,1
covid_deaths/D/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,311992.3856420431,311992.3856420431,98.59279764077202,36.69020091511364,0.0950309234965211,0.3752581432974887,757.4627086927469,558.5627857654349,0.2101619664233632,0.0370960199200718,0.0309701471327289,Healthcare,1
m_dense/D/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,8386.507214149664,8386.507214149664,44.65130969485391,0.6607494184860558,0.1185086482569224,0.095630527841145,6.379012185787576,91.57787513449776,0.1585348480000153,0.0772980218756863,0.0631451193830326,Transport,1
m_dense/H/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,39432.43473105146,39432.43473105146,83.48206320113218,0.7539597144822467,0.2788384779182516,0.2009038859311817,8.401670553568223,198.5760175123156,0.3522243730948539,0.1480763777219981,0.1227395546497083,Transport,1
m_dense/H/medium,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,37044.38883171854,37044.38883171854,78.16011609392022,0.6794426415749399,0.251551903813166,0.1867793898155614,8.614753074255637,192.469189304986,0.3348720734922392,0.135988727521944,0.1133651817926272,Transport,1
m_dense/H/long,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,34943.572665038635,34943.572665038635,77.91000943841253,0.6795139604653734,0.2513810692240803,0.1860022978322757,7.540252159563882,186.9320001097689,0.3236069257644547,0.1348737435315483,0.1111211229105249,Transport,1
bitbrains_fast_storage/H/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,2912911.53630013,2912911.53630013,287.49870926550665,1.0675777073781612,3.659134257790513,0.5831315286454645,22.55811215911605,1706.7253839736873,4.864721590647842,0.8194646844655236,0.6087711441932188,Web/CloudOps,2
loop_seattle/D/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,18.30258199578105,18.30258199578105,2.906786911312226,0.8765211325983565,0.053852067184302,0.0536568563479447,8.023810657994721,4.278151703221971,0.076456290488707,0.0519481682504815,0.0426484472008772,Transport,1
loop_seattle/H/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,58.40646651169981,58.40646651169981,4.000293623751039,0.8120012502535652,0.1083095730655085,0.0922023509073824,7.348417831446851,7.642412348970697,0.1352784712646801,0.0708092656245867,0.0573204283494962,Transport,1
loop_seattle/H/medium,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,69.43447113552912,69.43447113552912,4.396715814465583,0.8998642505249832,0.1144136374432819,0.1007124449650194,8.085009690115742,8.332734913312022,0.1472801528061401,0.0777114577310226,0.0633651476420629,Transport,1
loop_seattle/H/long,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,61.86886302375984,61.86886302375984,4.142164376141269,0.8657529627592407,0.119785862287265,0.0962369324385642,7.193870092157889,7.865676259785921,0.1405701681061887,0.0740260243934184,0.0596605775369606,Transport,1
ett1/D/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,37569.48607422518,37569.48607422518,132.11503890915677,1.668791476165754,1.1409425644335036,0.4850603058527825,10.852954900603972,193.82849654843116,0.5090969755413702,0.3470045319955125,0.2662914843489704,Energy,7
sz_taxi/15T/short,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,16.550277607051818,16.550277607051818,2.716854908837778,0.5419833528973537,1091345775554.4257,0.3932713256736534,3.806926195596908,4.068203240627466,0.3803944019832786,0.2540375534835082,0.1998321825102002,Transport,1
sz_taxi/15T/medium,SLSQPEnsemble_4-models_chronos-moirai-sundial-toto_opt-mae_1-windows,16.265316058257653,16.265316058257653,2.743935250658728,0.5351838313681818,10369564173617.44,0.4031497136827335,3.9072350214568536,4.033028149946099,0.3753405866559993,0.2553689754786582,0.2021021783798503,Transport,1
