dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/H/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,2911719.750551397,2911719.750551397,287.65389338477456,1.0685359233361813,3.66720341900145,0.5832151559346501,23.195436215431748,1706.3762042853848,4.863726315142684,0.8199070096003209,0.6089032548926975,Web/CloudOps,2
bitbrains_rnd/H/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,1845966.5036692717,1845966.5036692717,172.64950991798378,5.82568817932169,2.346496306988184,0.5547103281024919,196.34985159309875,1358.6634990568016,5.946176205760775,0.7555987251613467,0.633503688069993,Web/CloudOps,2
covid_deaths/D/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,290576.7377229693,290576.7377229693,95.7213223175994,37.90707071459545,0.0983409587637558,0.3807834041080814,886.3700347556423,539.0517022725828,0.2028208263073258,0.0360156133555221,0.0299827028325206,Healthcare,1
hospital/M/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,2636.5292473310465,2636.5292473310465,17.620744061649606,0.7539129778762883,0.1903240689415624,0.1714343933586291,5.062874637036708,51.347144490526894,0.1864020580351267,0.0639673927302363,0.0507270888029619,Healthcare,1
loop_seattle/5T/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,35.84572200440466,35.84572200440466,3.308527611209055,0.5250259337028799,0.0888826248360676,0.0703773296607943,3.862081302279422,5.987129696641342,0.1026660565102955,0.056733944295346,0.044913172639561,Transport,1
loop_seattle/D/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,18.298922699856924,18.298922699856924,2.9118022643690438,0.8790750214021396,0.0537558114486644,0.0537102743143568,8.879265044423219,4.277724009313472,0.076448647026769,0.0520377993147391,0.0430097527507108,Transport,1
loop_seattle/H/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,59.16152319769056,59.16152319769056,4.100412629393258,0.831800447281801,0.1114855044484215,0.0945868908716335,8.099357754672294,7.691652826128501,0.1361500777902229,0.0725814738501274,0.0596551041229147,Transport,1
m_dense/D/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,8323.99661091532,8323.99661091532,45.5311056910198,0.682017680166881,0.1221417114901101,0.0985136572827803,7.490560619324714,91.23593925046929,0.1579429064058192,0.0788210788839247,0.0651520068846577,Transport,1
m_dense/H/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,39594.35518917112,39594.35518917112,84.02073349611389,0.756008672177761,0.2751512258680442,0.2026184884796428,8.774158584971495,198.9833037949946,0.3529467974710898,0.1490318445972615,0.1238321763586177,Transport,1
sz_taxi/15T/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,16.537720326444187,16.537720326444187,2.721596094270488,0.5428923228263954,1137716753703.9934,0.3932959508098118,3.860572252657744,4.066659602971976,0.3802500652606255,0.2544808745986768,0.2004163241712201,Transport,1
sz_taxi/H/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,7.132385526909333,7.132385526909333,1.8378121484579095,0.5601346389058462,1.1170246076246608,0.2951146250032307,3.967800143726767,2.670652640631,0.2487877737725303,0.1712035425613886,0.1349025125810977,Transport,1
us_births/D/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,167686.1617408659,167686.1617408659,240.9944488042466,0.3548448183092917,0.0231660287137403,0.022813661553501,3.6707771210188898,409.4950082001805,0.038386834158435,0.0225912740182409,0.0185715334516298,Healthcare,1
us_births/M/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,49262427.86001843,49262427.86001843,5724.968227359398,0.6475431182414367,0.0176595111007549,0.0178798745790799,4.287672668141375,7018.719816321095,0.0218000958964661,0.017781712281838,0.0133924133486717,Healthcare,1
us_births/W/short,SLSQPEnsemble_4-models_flowstate-moirai-sundial-toto_opt-mae_1-windows,1635494.5152542202,1635494.5152542202,1010.074961390408,0.9183789705445232,0.0136900675244464,0.0137324243525254,5.839534827055872,1278.864541401559,0.017360460751198,0.0137116685585545,0.0106007883281786,Healthcare,1
