dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,model_list,weight_list,source_path
us_births/M/short,TimeCopilot_LLM_Vote,67604701.97370024,67604701.97370024,6698.290580388025,0.7583487894186879,0.0205566972563554,0.0208695098280773,4.680522386979404,8222.20785274249,0.0255381215323132,0.0208048448743169,0.0157239411849826,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.5438, 0.0, 0.4562]",all_data_combined.csv
us_births/M/short,TimeCopilot_LLM_Vote,65602535.57762971,65602535.57762971,6475.992781968623,0.7331701172771853,0.0198744553067795,0.0201767432036526,4.679877671154926,8099.539220080961,0.0251571135956106,0.0201143894280335,0.0152493324102645,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.5131, 0.0, 0.4869]",all_data_combined.csv
us_births/M/short,TimeCopilot_LLM_Vote,64560237.26668661,64560237.26668661,6590.303254060692,0.7462085707627901,0.0202545111993205,0.020551281351619,4.479227190442635,8034.938535339683,0.0249564643092461,0.0204694369749925,0.0153346317635996,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.4923, 0.0, 0.5077]",all_data_combined.csv
us_births/W/short,TimeCopilot_LLM_Vote,1621473.886357149,1621473.886357149,981.1631113370426,0.8923520785207658,0.0133186214318652,0.0133667576520435,6.063136879165993,1273.371071745055,0.01728588743927,0.0133191930290149,0.0105823429876049,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.8934, 0.0, 0.1066]",all_data_combined.csv
us_births/W/short,TimeCopilot_LLM_Vote,1634335.6406256498,1634335.6406256498,982.8279497328882,0.8938943129739736,0.0133504324521199,0.013399447177534,6.292816872936955,1278.4113737860946,0.0173543090452532,0.0133417930469938,0.0106688835936691,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.9284, 0.0, 0.0716]",all_data_combined.csv
us_births/W/short,TimeCopilot_LLM_Vote,1634406.7130296666,1634406.7130296666,982.0538771474296,0.893199654047972,0.0133422092964841,0.0133905787507291,6.215655354713562,1278.4391706411636,0.0173546863848351,0.0133312850875474,0.010661279574247,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.9364, 0.0, 0.0636]",all_data_combined.csv
us_births/D/short,TimeCopilot_LLM_Vote,167746.19700668662,167746.19700668662,242.28181547027705,0.3567255464697186,0.0233197336762127,0.0229794651093874,3.718204456220112,409.5683056666942,0.0383937052011461,0.0227119541968033,0.0186062789463513,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.6666, 0.3334, 0.0]",all_data_combined.csv
us_births/D/short,TimeCopilot_LLM_Vote,161950.2181902529,161950.2181902529,241.6654044856905,0.3558281140071301,0.023217598289764,0.0229051086293343,3.833914016642346,402.4303892479455,0.0377245834577393,0.0226541706688849,0.0185792968988891,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.5381, 0.4619, 0.0]",all_data_combined.csv
us_births/D/short,TimeCopilot_LLM_Vote,167967.98775874832,167967.98775874832,242.3397134123321,0.3568124983849296,0.0233259988895193,0.0229859676077352,3.722221904686008,409.838977842211,0.0384190785212227,0.0227173816590562,0.01861337430006,Healthcare,1,"['Moirai', 'Sundial', 'Toto']","[0.6662, 0.3338, 0.0]",all_data_combined.csv
kdd_cup_2018/D/short,TimeCopilot_LLM_Vote,2876.670039106788,2876.670039106788,21.08868706039662,1.1932549584236816,0.5243549151429657,0.464656844042171,9.114507701669988,53.63459740789324,1.2014719517917738,0.4724089902360638,0.3746867659820296,Nature,1,"['Moirai', 'Sundial', 'Toto']","[0.4286, 0.0, 0.5714]",all_data_combined.csv
